Item Code,Product,UPC,Bill Units,Scan Units,Est. Units On Hand,Est. Sell Thru % (Units),Bill $,Sales
169919,CSR HM DLGHTS CHK&VEG,2310010835, 24 , 15 , 9 ,63%,$19 ,$12 
169893,CSR HM DLGHTS POT RST,2310010836, 0 , 8 ,(8),N/A,$0 ,$6 
169315,CSR HM DLGHTS BF/CN SNGL,2310010881, 0 , 1 ,(1),N/A,$0 ,$9 
97897,TEMPTATIONS MIX UPS SURFERS DL,2310010925, 0 , 3 ,(3),N/A,$0 ,$25 
97894,TEMPTATIONS MIX UPS BACKYARD,2310010926, 0 , 5 ,(5),N/A,$0 ,$41 
165963,SHEBA PERF PORT SINGLE SEAFOOD,2310011019, 0 , 21 ,(21),N/A,$0 ,$13 
165966,SHEBA PERF PORT SINGLE CHICKEN,2310011020, 0 , 5 ,(5),N/A,$0 ,$3 
166199,SHEBA PERF PORT SINGLE SALMON,2310011021, 24 , 7 , 17 ,29%,$15 ,$4 
166153,SHEBA PERF PORT SINGL CKN-LIVR,2310011022, 0 , 7 ,(7),N/A,$0 ,$4 
166145,SHEBA PERF PORT SINGL CKN&TUNA,2310011023, 24 , 23 , 1 ,96%,$15 ,$15 
166219,SHEBA PERF PORT SINGL WTFH&TUN,2310011024, 24 , 28 ,(4),117%,$15 ,$18 
166206,SHEBA PERF PORT SINGLE BEEF,2310011025, 24 , 12 , 12 ,50%,$15 ,$8 
12386,SHEBA PP MK CHICKEN TURKEY,2310011027, 4 , 2 , 2 ,50%,$34 ,$17 
370191,SHEBA PP 12CT PATE SEAFO MULI,2310011028, 4 , 3 , 1 ,75%,$34 ,$26 
63753,PED SMALL BREED STEAK & VEGGIE,2310011034, 8 , 5 , 3 ,63%,$39 ,$25 
65617,PED SMALL BREED STK & VEG,2310011035, 8 , 8 , 0 ,100%,$108 ,$109 
325582,TEMPTATIONS CREAMY DAIRY FLAV,2310011080, 0 , 2 ,(2),N/A,$0 ,$16 
331933,TEMPTATIONS MIX UPS CATNIP FEV,2310011081, 4 , 4 , 0 ,100%,$33 ,$33 
192000,PED TGD FLT MGN SINGLE,2310011116, 12 , 18 ,(6),150%,$9 ,$14 
319666,PEDIGREE ADULT STEAK/VEG BONUS,2310011131, 3 , 8 ,(5),267%,$41 ,$108 
111951,SHEBA PP TUNA CUTS,2310011415, 0 , 11 ,(11),N/A,$0 ,$7 
336525,SHEBA PP ROASTED CHICKEN,2310011416, 24 , 12 , 12 ,50%,$15 ,$8 
111804,SHEBA PP TURKEY CUTS,2310011417, 24 , 22 , 2 ,92%,$15 ,$14 
336538,SHEBA PP GOURMET SALMON,2310011418, 48 , 30 , 18 ,63%,$31 ,$19 
112110,SHEBA PP WHITEFISH & TUNA CUTS,2310011420, 0 , 22 ,(22),N/A,$0 ,$14 
354723,CESAR HD MIXED 24PK,2310011437, 0 , 1 ,(1),N/A,$0 ,$18 
336498,SHEBA PRFT PORTIONS MULTI,2310011516, 2 , 2 , 0 ,100%,$17 ,$17 
354710,CESAR DRY FLT MIGN VEG 2.7LB,2310011624, 4 , 3 , 1 ,75%,$22 ,$16 
325604,TEMPTATIONS TEMPTING TUNA FLAV,2310011642, 0 , 1 ,(1),N/A,$0 ,$8 
325571,TEMPTATIONS BLISSFUL CATNIP FL,2310011643, 10 , 3 , 7 ,30%,$31 ,$9 
994621,TEMPTATIONS SEAFOOD MEDLEY30OZ,2310011719, 0 , 1 ,(1),N/A,$0 ,$15 
323168,SHEBA MEATY STICKS CHICKEN,2310011781, 0 , 3 ,(3),N/A,$0 ,$5 
323166,SHEBA MEATY STICKS SALMON,2310011782, 0 , 4 ,(4),N/A,$0 ,$6 
358219,PED PCH MEATY GROUND CHICKEN,2310011801, 32 , 18 , 14 ,56%,$17 ,$10 
354785,PED PCH BEEF BCN CHS 1CT,2310011802, 0 , 10 ,(10),N/A,$0 ,$5 
354761,PEDIGREE CHOICE CUTS VP,2310011813, 2 , 1 , 1 ,50%,$9 ,$4 
354765,PEDIGREE GRND DIN PCH VP,2310011816, 0 , 1 ,(1),N/A,$0 ,$4 
111752,SHEBA PP SALMON & SHRIMP CUTS,2310011831, 0 , 18 ,(18),N/A,$0 ,$12 
832494,SHEBA PP TUNA SHRIMP CUTS,2310011832, 24 , 25 ,(1),104%,$15 ,$16 
111661,SHEBA PP CHKN TRKY CUTS,2310011833, 2 , 3 ,(1),150%,$17 ,$26 
111636,SHEBA PP CHKN TUNA,2310011834, 2 , 3 ,(1),150%,$17 ,$25 
355117,PEDIGREE POUCH VP CHK BF CASS,2310011837, 4 , 3 , 1 ,75%,$35 ,$27 
354794,PED PCH FILET MGN GRVY,2310011900, 16 , 7 , 9 ,44%,$9 ,$4 
579505,CESAR GLZD HAM FLVR DCD POTATO,2310011998, 24 , 11 , 13 ,46%,$19 ,$9 
111294,CESAR LE BRAISED RIB FLAVOR,2310011999, 0 , 12 ,(12),N/A,$0 ,$9 
524344,CRAVE PP REAL CHICKEN,2310012301, 0 , 9 ,(9),N/A,$0 ,$10 
794265,CRAVE PP REAL SALMON,2310012302, 24 , 18 , 6 ,75%,$26 ,$20 
729065,PEDIGREE HIGH PROT BEEF & LAMB,2310013506, 12 , 0 , 12 ,0%,$15 ,$0 
828060,PEDIGREE HIGH PROT VARIETY PK,2310013507, 1 , 0 , 1 ,0%,$15 ,$0 
170232,CESAR GFIS PRIME RIB SINGLE,2310023529, 0 , 8 ,(8),N/A,$0 ,$6 
48794,CESAR NW YK STRIP/FLT MGN 12PK,2310023537, 4 , 4 , 0 ,100%,$37 ,$37 
312792,PEDIGREE DENTASTIX MINI SM BOX,2310027789, 0 , 5 ,(5),N/A,$0 ,$17 
123840,PEDIGREE SMALL BREED CHICKEN,2310029161, 0 , 1 ,(1),N/A,$0 ,$14 
95921,TEMPTATIONS TEMPTING TUNA FLAV,2310032784, 0 , 4 ,(4),N/A,$0 ,$6 
55791,CESAR SUNRISE STEAK & EGG FLVR,2310033581, 0 , 14 ,(14),N/A,$0 ,$11 
312804,PEDIGREE DENTASTIX MED MED BOX,2310039606, 4 , 1 , 3 ,25%,$29 ,$7 
54941,CESAR FIL MIG/PORHSE VAR 12 PK,2310070295, 4 , 4 , 0 ,100%,$37 ,$38 
55220,CESAR TOP SIR & CHKN VAR 12 PK,2310070296, 0 , 1 ,(1),N/A,$0 ,$9 
297746,PETMATE JUMBO CAT LITER SCOOP,2969529112, 0 , 11 ,(11),N/A,$0 ,$18 
968146,NUDGES JERKY CUTS W/CHKN 16OZ,3140005263, 4 , 5 ,(1),125%,$46 ,$58 
738462,NUDGES GRILLERS W/STEAK 16OZ,3140006303, 5 , 3 , 2 ,60%,$58 ,$35 
448302,NUDGES HOME STYLE 10OZ,3140006941, 6 , 4 , 2 ,67%,$43 ,$29 
365774,HARTZ DELCTBLES STW TNA&WT FSH,3270011054, 24 , 17 , 7 ,71%,$23 ,$16 
365773,HARTZ DELCTBLES STW SR CHK&TNA,3270011055, 12 , 19 ,(7),158%,$11 ,$18 
320360,DELECTABLES BISQUE TUNA & CHK,3270011056, 36 , 34 , 2 ,94%,$34 ,$32 
302813,HP ODR ELMNTG PADS LAVNDR,3270014840, 0 , 1 ,(1),N/A,$0 ,$22 
241281,A&H ULTRA LAST CAT LITTER,3320002203, 0 , 2 ,(2),N/A,$0 ,$17 
262608,ARM & HAM CLUMP & SEAL MC LTR,3320002204, 2 , 2 , 0 ,100%,$21 ,$22 
63531,A&H MULTI-CAT CLUMPING LITTER,3320002206, 8 , 5 , 3 ,63%,$64 ,$40 
57545,A&H MULTICAT UNSCNTD CAT LTR,3320002207, 4 , 4 , 0 ,100%,$33 ,$34 
262587,ARM & HAM CLUMP & SEAL MC LTR,3320002292, 6 , 5 , 1 ,83%,$89 ,$74 
263994,A&H DOUBLE DUTY CAT LITTER,3320002297, 3 , 3 , 0 ,100%,$32 ,$32 
620867,A&H MULTI CAT SCOOP 40LB,3320002406, 1 , 1 , 0 ,100%,$15 ,$15 
241280,A&H DOUBLE DUTY CAT LITTER,3320002408, 3 , 4 ,(1),133%,$44 ,$59 
683730,ARM & HAMMER LITTER DEODORIZER,3320015020, 0 , 11 ,(11),N/A,$0 ,$24 
23929,AH CLMP SEAL LT WGT MULTI CAT,3320094187, 4 , 3 , 1 ,75%,$47 ,$36 
315148,A&H C&S MICROGUARD CAT LITTER,3320094192, 3 , 2 , 1 ,67%,$26 ,$17 
353151,A&H SLIDE CLMPNG LTTR MULTI,3320097354, 3 , 4 ,(1),133%,$28 ,$37 
353152,A&H SLIDE CLMPNG LTTR MULTI,3320097357, 8 , 9 ,(1),113%,$96 ,$108 
353153,A&H SLIDE CLMPNG LTTR MULTI,3320097360, 2 , 2 , 0 ,100%,$34 ,$34 
171613,BEGGIN STRIPS BACON,3810001617, 4 , 3 , 1 ,75%,$38 ,$29 
101174,BUSY BONE SMALL/MEDIUM,3810003295, 6 , 4 , 2 ,67%,$16 ,$11 
171615,BEGGIN STRIPS BACON & CHEESE,3810011144, 0 , 2 ,(2),N/A,$0 ,$19 
21630,BUSY BONE MINI,3810012891, 8 , 8 , 0 ,100%,$21 ,$21 
133985,BUSY BONE SMALL/MEDIUM,3810013038, 4 , 5 ,(1),125%,$28 ,$35 
313949,BEGGIN LITTLES BCN AND CHEESE,3810017120, 0 , 2 ,(2),N/A,$0 ,$6 
359088,BUSY BEGGIN TWISTD SM&MED,3810017255, 0 , 2 ,(2),N/A,$0 ,$27 
313970,BUSY CHEW BEGGIN TWISTED 2PK,3810017391, 6 , 6 , 0 ,100%,$16 ,$16 
313968,BEGGIN LITTLES BACON,3810017395, 0 , 1 ,(1),N/A,$0 ,$9 
145987,BUSY TWISTD SMALL MEDIUM,3810017397, 8 , 9 ,(1),113%,$56 ,$63 
949620,BB BEGGIN TWIST TINY 10PK,3810017647, 6 , 6 , 0 ,100%,$21 ,$21 
266270,MOIST & MEATY BURGR W/CHZ 36CT,3810033048, 3 , 3 , 0 ,100%,$42 ,$42 
37023,BEGGIN STRIPS BACON,3810049621, 6 , 6 , 0 ,100%,$17 ,$17 
278133,HEB TEXAS SPORTING DOG FORMULA,4122000786, 4 , 7 ,(3),175%,$40 ,$70 
596619,HCF DOG CAN CHOPPED BEEF,4122000862, 0 , 5 ,(5),N/A,$0 ,$3 
596528,HCF DOG CAN BEEF CUTS,4122000863, 0 , 1 ,(1),N/A,$0 ,$1 
596478,HCF DOG CAN PUPPY FOOD,4122000866, 0 , 1 ,(1),N/A,$0 ,$1 
334697,HR PUPPY SAMPLE,4122000894, 6 , 8 ,(2),133%,$9 ,$12 
309805,HEB HR CHICKEN CROCKPOT,4122001219, 0 , 2 ,(2),N/A,$0 ,$1 
334646,HR DRY CAT GF SALMON&CHICK PEA,4122001223, 0 , 5 ,(5),N/A,$0 ,$8 
334695,HR DRY CAT GF CHICKEN&CHIC PEA,4122001224, 6 , 4 , 2 ,67%,$9 ,$6 
334655,HR DRY CAT GRAIN FREE KITTEN,4122001225, 0 , 2 ,(2),N/A,$0 ,$3 
